,Original,Training,Validation
0,0.005355913183197735,0.005355947333184557,0.005355776587605203
1,0.05661965365094749,0.056620014665093886,0.056618209640397855
2,0.05738478410569002,0.057385149998405965,0.057383320581484314
3,0.03596113137289908,0.03596136066566774,0.035960214231063506
4,0.05049861001300722,0.05049893199859725,0.0504973221117062
5,0.04743808819403708,0.04743839066534893,0.047436878347360364
6,0.01071182636639547,0.010711894666369114,0.010711553175210406
7,0.03672626182764161,0.03672649599897982,0.036725325172149964
8,0.03596113137289908,0.03596136066566774,0.035960214231063506
9,0.03749139228238415,0.0374916313322919,0.03749043611323642
10,0.05126374046774975,0.05126406733190933,0.051262433052792655
11,0.03366574000867148,0.0336659546657315,0.03366488140780413
12,0.05355913183197735,0.05355947333184557,0.05355776587605203
13,0.05508939274146242,0.05508974399846973,0.05508798775822494
14,0.019893391823305875,0.01989351866611407,0.019892884468247895
15,0.016067739549593205,0.016067841999553672,0.016067329762815608
16,0.01071182636639547,0.010711894666369114,0.010711553175210406
17,0.028309826825473745,0.028310007332546943,0.028309104820198928
18,0.030605218189701345,0.03060541333248318,0.030604437643458302
19,0.005355913183197735,0.005355947333184557,0.005355776587605203
20,0.009181565456910403,0.009181623999744955,0.009181331293037491
21,0.00841643500216787,0.008416488666432876,0.008416220351951033
22,0.009946695911652937,0.009946759333057035,0.009946442234123947
23,0.01300721773062307,0.013007300666305352,0.013006885998469778
24,0.0068861740926828025,0.006886217999808716,0.006885998469778117
25,0.03825652273712668,0.03825676666560398,0.03825554705432287
26,0.015302609094850672,0.01530270666624159,0.015302218821729151
27,0.006121043637940269,0.0061210826664966364,0.00612088752869166
28,0.013772348185365605,0.013772435999617432,0.013771996939556235
29,0.0068861740926828025,0.006886217999808716,0.006885998469778117
30,0.011476956821138005,0.011477029999681193,0.011476664116296864
31,0.019893391823305875,0.01989351866611407,0.019892884468247895
32,0.006121043637940269,0.0061210826664966364,0.00612088752869166
33,0.017572496110586856,0.017566232027289828,0.017597551644988524
34,0.01071182636639547,0.010711894666369114,0.010711553175210406
35,0.030605218189701345,0.03060541333248318,0.030604437643458302
36,0.009946695911652937,0.009946759333057035,0.009946442234123947
37,0.005355913183197735,0.005355947333184557,0.005355776587605203
38,0.05279400137723482,0.05279433799853349,0.05279265493496557
39,0.007651304547425336,0.007651353333120795,0.0076511094108645756
40,0.009181565456910403,0.009181623999744955,0.009181331293037491
41,0.006121043637940269,0.0061210826664966364,0.00612088752869166
42,0.006121043637940269,0.0061210826664966364,0.00612088752869166
